Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
World,113795678,2025,105435540,2023,100834796,2022
United States,30507217,2025,27360935,2023,27720700,2023
China,19231705,[n 1]2025,17794782,[n 3]2023,17794782,[n 1]2023
Germany,4744804,2025,4456081,2023,4525704,2023
India,4187017,2025,3549919,2023,3575778,2023
Japan,4186431,2025,4212945,2023,4204495,2023
United Kingdom,3839180,2025,3340032,2023,3380855,2023
France,3211292,2025,3030904,2023,3051832,2023
Italy,2422855,2025,2254851,2023,2300941,2023
Canada,2225341,2025,2140086,2023,2142471,2023
Brazil,2125958,2025,2173666,2023,2191132,2023
Russia,2076396,2025,2021421,2023,2008419,2023
Spain,1799511,2025,1580695,2023,1620091,2023
South Korea,1790322,2025,1712793,2023,1839058,2023
Australia,1771681,2025,1723827,2023,1775628,2023
Mexico,1692640,2025,1788887,2023,1793799,2023
Turkey,1437406,2025,1108022,2023,1118253,2023
Indonesia,1429743,2025,1371171,2023,1371171,2023
Netherlands,1272011,2025,1118125,2023,1154361,2023
Saudi Arabia,1083749,2025,1067583,2023,1067583,2023
Poland,979960,2025,811229,2023,809201,2023
Switzerland,947125,2025,884940,2023,894425,2023
Taiwan,804889,[n 4]2025,—,—,—,—
Belgium,684864,2025,632217,2023,644783,2023
Argentina,683533,2025,640591,2023,646075,2023
Sweden,620297,2025,593268,2023,584960,2023
Ireland,598840,2025,545629,2023,551395,2023
Israel,583361,2025,509902,2023,513611,2023
Singapore,564774,2025,501428,2023,501428,2023
United Arab Emirates,548598,2025,504173,2023,514130,2023
Thailand,546224,2025,514945,2023,514945,2023
Austria,534301,2025,516034,2023,511685,2023
Norway,504276,2025,485513,2023,485311,2023
Philippines,497495,2025,437146,2023,437146,2023
Vietnam,490970,2025,429717,2023,429717,2023
Bangladesh,467218,2025,437415,2023,422431,2023
Malaysia,444000,2025,399649,2023,399649,2023
Denmark,449940,2025,404199,2023,407092,2023
Iran,446313,2025,401505,2023,401596,2023
